
2024/08/25 (22:22:56) | ===> btop++ v.1.3.2
2024/08/25 (22:22:56) | ERROR: Stall in Runner thread, restarting!

2024/11/13 (08:29:12) | ===> btop++ v.1.4.0
2024/11/13 (08:29:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (17:58:47) | ===> btop++ v.1.4.0
2024/11/16 (17:58:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (19:59:25) | ===> btop++ v.1.4.0
2024/12/02 (19:59:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (10:43:00) | ===> btop++ v.1.4.0
2025/01/01 (10:43:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (20:52:13) | ===> btop++ v.1.4.0
2025/03/30 (20:52:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (21:05:24) | ===> btop++ v.1.4.0
2025/03/30 (21:05:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (00:22:17) | ===> btop++ v.1.4.0
2025/04/10 (00:22:17) | WARNING: Intel GPU: Failed to initialize PMU
